Length	Assembly
2119	FlyBase_Contig
2117	FlyBase_Contig
2115	FlyBase_Contig
2114	FlyBase_Contig
2113	FlyBase_Contig
2113	FlyBase_Contig
2113	FlyBase_Contig
2112	FlyBase_Contig
2112	FlyBase_Contig
2109	FlyBase_Contig
2108	FlyBase_Contig
2107	FlyBase_Contig
2105	FlyBase_Contig
2105	FlyBase_Contig
2103	FlyBase_Contig
2102	FlyBase_Contig
2102	FlyBase_Contig
2096	FlyBase_Contig
2096	FlyBase_Contig
2094	FlyBase_Contig
2094	FlyBase_Contig
2092	FlyBase_Contig
2090	FlyBase_Contig
2089	FlyBase_Contig
2088	FlyBase_Contig
2088	FlyBase_Contig
2087	FlyBase_Contig
2087	FlyBase_Contig
2086	FlyBase_Contig
2084	FlyBase_Contig
2081	FlyBase_Contig
2081	FlyBase_Contig
2079	FlyBase_Contig
2079	FlyBase_Contig
2078	FlyBase_Contig
2076	FlyBase_Contig
2074	FlyBase_Contig
2069	FlyBase_Contig
2069	FlyBase_Contig
2068	FlyBase_Contig
2066	FlyBase_Contig
2065	FlyBase_Contig
2064	FlyBase_Contig
2063	FlyBase_Contig
2063	FlyBase_Contig
2062	FlyBase_Contig
2060	FlyBase_Contig
2060	FlyBase_Contig
2060	FlyBase_Contig
2059	FlyBase_Contig
2050	FlyBase_Contig
2046	FlyBase_Contig
2044	FlyBase_Contig
2043	FlyBase_Contig
2035	FlyBase_Contig
2033	FlyBase_Contig
2033	FlyBase_Contig
2030	FlyBase_Contig
2027	FlyBase_Contig
2021	FlyBase_Contig
2020	FlyBase_Contig
2017	FlyBase_Contig
2014	FlyBase_Contig
2010	FlyBase_Contig
2009	FlyBase_Contig
2008	FlyBase_Contig
2006	FlyBase_Contig
2006	FlyBase_Contig
2005	FlyBase_Contig
2005	FlyBase_Contig
1998	FlyBase_Contig
1998	FlyBase_Contig
1998	FlyBase_Contig
1998	FlyBase_Contig
1995	FlyBase_Contig
1994	FlyBase_Contig
1994	FlyBase_Contig
