genome,MAG_ID,cluster,score
3300077309_73.fna,3300077309_73,341_0,57.28567348777298
3300081702_13.fna,3300081702_13,342_1,72.61299590006314
3300082236_35.fna,3300082236_35,342_2,88.94128775622008
3300075662_7.fna,3300075662_7,343_1,87.62357991874406
3300081038_30.fna,3300081038_30,344_1,71.72779886094352
3300076038_6.fna,3300076038_6,344_2,80.28967431583803
3300049273_11.fna,3300049273_11,344_3,84.01276692
3300082235_37.fna,3300082235_37,345_0,61.701586858187625
3300080687_53.fna,3300080687_53,346_0,46.07640588562407
3300045996_403.fna,3300045996_403,347_0,89.15161043988738
3300080694_22.fna,3300080694_22,348_0,49.73137816647569
3300014326_7.fna,3300014326_7,349_0,87.83233691
3300045051_85.fna,3300045051_85,350_0,73.82700058384079
3300036402_5.fna,3300036402_5,351_0,67.49482951604745
3300082192_60.fna,3300082192_60,352_0,81.1925574
3300044712_204.fna,3300044712_204,353_1,91.68172006264447
3300077821_11.fna,3300077821_11,354_0,91.19975819
3300056798_206.fna,3300056798_206,355_1,76.75744353601891
3300035016_4.fna,3300035016_4,356_0,94.86075282744939
3300036390_1.fna,3300036390_1,357_0,95.09456400830548
3300072118_13.fna,3300072118_13,358_1,94.86619400824368
3300072121_6.fna,3300072121_6,359_0,82.00804304869204
3300072965_7.fna,3300072965_7,360_1,99.55726469492194
3300036389_2.fna,3300036389_2,361_0,94.25715415408344
3300036393_4.fna,3300036393_4,362_0,87.97679664699923
3300036520_2.fna,3300036520_2,363_0,97.89320870692983
3300072970_12.fna,3300072970_12,364_0,96.68892621
3300057297_5.fna,3300057297_5,365_1,98.78540183404705
3300042995_8.fna,3300042995_8,366_0,98.03270124135075
3300056858_4.fna,3300056858_4,367_1,100.4444473991973
3300035011_1.fna,3300035011_1,368_1,70.48750727729106
3300036444_4.fna,3300036444_4,368_2,97.22965747693208
3300035005_2.fna,3300035005_2,369_0,98.99101621
3300054986_94.fna,3300054986_94,370_0,101.07064175068747
3300046478_21.fna,3300046478_21,371_0,77.11847476968431
3300081965_58.fna,3300081965_58,372_0,66.67784646
3300077500_31.fna,3300077500_31,373_1,85.40832776603993
3300063017_62.fna,3300063017_62,374_0,61.69228710380481
3300049823_35.fna,3300049823_35,375_1,89.57666643142079
3300072779_29.fna,3300072779_29,376_0,70.36940954097301
3300056673_174.fna,3300056673_174,377_1,100.87056141358636
3300034031_2.fna,3300034031_2,378_1,87.74124209643776
3300037463_6.fna,3300037463_6,378_2,42.73226724753913
3300060805_74.fna,3300060805_74,378_3,94.91831242944185
3300012989_7.fna,3300012989_7,378_4,70.48855764775385
3300053717_14.fna,3300053717_14,378_5,100.92128892475893
3300050033_5.fna,3300050033_5,379_1,79.86274512
3300049718_2.fna,3300049718_2,380_1,94.78525402693563
3300014199_13.fna,3300014199_13,381_0,80.41030861
3300056674_311.fna,3300056674_311,382_1,54.67501087
3300056809_339.fna,3300056809_339,383_1,89.95540811000255
3300056809_36.fna,3300056809_36,384_1,90.09024349
3300057053_156.fna,3300057053_156,385_1,71.34937393
3300057029_123.fna,3300057029_123,386_0,68.44177742903378
