Length	Assembly
1146	<=100kb
1145	<=100kb
1144	<=100kb
1144	<=100kb
1144	<=100kb
1144	<=100kb
1144	<=100kb
1143	<=100kb
1143	<=100kb
1142	<=100kb
1142	<=100kb
1142	<=100kb
1141	<=100kb
1141	<=100kb
1140	<=100kb
1140	<=100kb
1140	<=100kb
1140	<=100kb
1139	<=100kb
1139	<=100kb
1139	<=100kb
1139	<=100kb
1139	<=100kb
1138	<=100kb
1137	<=100kb
1136	<=100kb
1136	<=100kb
1136	<=100kb
1136	<=100kb
1135	<=100kb
1135	<=100kb
1135	<=100kb
1134	<=100kb
1134	<=100kb
1134	<=100kb
1134	<=100kb
1133	<=100kb
1133	<=100kb
1133	<=100kb
1132	<=100kb
1132	<=100kb
1132	<=100kb
1132	<=100kb
1131	<=100kb
1131	<=100kb
1131	<=100kb
1130	<=100kb
1130	<=100kb
1130	<=100kb
1129	<=100kb
1129	<=100kb
1129	<=100kb
1129	<=100kb
1127	<=100kb
1127	<=100kb
1126	<=100kb
1126	<=100kb
1126	<=100kb
1126	<=100kb
1126	<=100kb
1125	<=100kb
1125	<=100kb
1124	<=100kb
1124	<=100kb
1123	<=100kb
1123	<=100kb
1123	<=100kb
1123	<=100kb
1123	<=100kb
1122	<=100kb
1121	<=100kb
1120	<=100kb
1119	<=100kb
1119	<=100kb
1118	<=100kb
1118	<=100kb
1118	<=100kb
1118	<=100kb
1117	<=100kb
1117	<=100kb
1117	<=100kb
1117	<=100kb
1117	<=100kb
1117	<=100kb
1116	<=100kb
1116	<=100kb
1116	<=100kb
1116	<=100kb
1116	<=100kb
1116	<=100kb
1115	<=100kb
1115	<=100kb
1115	<=100kb
1114	<=100kb
1114	<=100kb
1114	<=100kb
1114	<=100kb
1114	<=100kb
1114	<=100kb
1112	<=100kb
1112	<=100kb
1112	<=100kb
1112	<=100kb
1111	<=100kb
1110	<=100kb
1110	<=100kb
1110	<=100kb
1110	<=100kb
1109	<=100kb
1109	<=100kb
1109	<=100kb
1109	<=100kb
1108	<=100kb
